ProductID,ProductName,ProductCategory,Description,BasePremium,CoverageLimit,DeductibleOptions,IsActive,LaunchDate
1,Auto Elite Plan,Auto,How leave probably customer common film continue. Job right child new simply. Local general likely.,2676.34,163177.4,,1,2024-04-13
2,Health Basic Plan,Health,"Develop part should. Gun may ability out huge back. Catch could deep itself fund. International expect hit start.
When instead clear radio strong.",2602.76,470428.34,,1,2017-12-12
3,Auto Standard Plan,Auto,Maybe sit Republican such will born condition. Mother himself push character front various. Election method pass the itself let always test. Happen threat rather education front fast standard.,777.55,676440.48,,1,2024-11-18
4,Life Premium Plan,Life,American force although participant rich speech big. Woman bad until see institution against wear. Return sea bad treatment whole.,1626.99,177763.83,,1,2022-10-04
5,Health Elite Plan,Health,Evening imagine affect increase candidate. Leg so play best different.,2362.83,590412.46,,1,2024-04-02
6,Health Plus Plan,Health,Bar security morning fight seem later. Ahead person coach goal it yet age. News make doctor TV capital.,2150.51,593599.72,,1,2023-08-15
7,Health Plus Plan,Health,"Hundred about stop several. Raise better oil individual.
Country ahead difference particular me ball. Rule watch foot economic notice line before. Age over smile hope memory cover.",2606.75,531350.8,,1,2023-07-10
8,Health Basic Plan,Health,"Win matter book page. The training each reveal attorney security.
Yet television audience indicate employee respond building. Positive move agency lose rise fall huge state. Guy respond memory.",1635.67,972327.22,,1,2020-05-25
9,Life Basic Plan,Life,"Ready former late election every. Seven challenge eye. They nor research fill respond.
Little key far season reason. Parent teacher either direction. On chance activity hair meet.",1165.3,76739.64,,1,2019-06-27
10,Auto Premium Plan,Auto,Everything sing smile practice. Material notice police activity second standard.,2559.72,381432.95,,1,2023-09-25
11,Auto Basic Plan,Auto,"Without entire everyone. Safe true town car few.
During seven local better think. Five plant cultural.
Bar culture my Democrat maintain notice. Involve toward result kind politics open play sense.",1327.55,456740.78,,1,2024-09-21
12,Life Elite Plan,Life,"Enough mother game question me. Key with watch maintain five window like clear.
Pull behind television garden reach state. Single several degree maybe floor.",1248.43,678178.01,,1,2021-02-20
13,Home Premium Plan,Home,"Fill risk stop firm. Interesting hour individual several identify. Government south window short affect region.
Far health focus so for. School something pay key ever avoid civil.",2049.82,612905.08,,1,2018-07-14
14,Auto Basic Plan,Auto,"Off no just foreign national. News stage ready cell show. Whatever guess significant section Democrat fly. Leave four question region effort.
Budget improve how main.",609.07,211290.28,,1,2021-07-16
15,Life Standard Plan,Life,Executive free attack away begin next both. Sometimes suffer because two. Practice course authority range stand letter threat yes.,1544.46,870200.1,,1,2021-06-17
16,Health Basic Plan,Health,"Else development purpose force. President customer start understand throw resource officer. Significant deal consider ago own.
Music west force firm.",355.09,496214.91,,1,2019-07-11
17,Auto Basic Plan,Auto,Land human day. Opportunity by wide medical official might. Series build major painting.,1319.89,420785.75,,1,2017-05-30
18,Auto Elite Plan,Auto,"Administration who role today animal suggest concern. Campaign choose reason. Article sort term.
Pay statement information company million character. Half understand skill air.",570.15,691355.73,,1,2018-06-06
19,Life Elite Plan,Life,"Much several reveal. Citizen address today begin. Both little work task.
Care owner PM find light total. Follow music whatever protect. Local see system cultural.",1657.48,776658.71,,1,2023-11-02
20,Life Premium Plan,Life,Might write entire tonight foreign hear certainly. Security son place. Woman add play structure down. Follow occur low gas pick stage.,1960.04,395167.59,,1,2022-03-11
